taxid	species	kingdom	phylum	class	order	family	genus	
10036	Mesocricetus auratus	Metazoa	Chordata	Mammalia	Rodentia	Cricetidae	Mesocricetus
11070	Dengue virus 4	NA	NA	NA	NA	Flaviviridae	Flavivirus
638787	Chimeric Tick-borne encephalitis virus/Dengue virus 4	NA	NA	NA	NA	Flaviviridae	Flavivirus
598674	West Nile virus strain PT6.5	NA	NA	NA	NA	Flaviviridae	Flavivirus
64291	Israel turkey meningoencephalomyelitis virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
284997	Chimeric dengue virus vector p4-D3L-ME	NA	NA	NA	NA	NA	NA
72004	Bos mutus	Metazoa	Chordata	Mammalia	NA	Bovidae	Bos
64308	Iguape virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
1566298	Paraiso Escondido virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
478577	Barkedji virus	NA	NA	NA	NA	Flaviviridae	NA
64297	Uganda S virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
40004	Tyuleniy virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
643132	Quang Binh virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
11060	Dengue virus 2	NA	NA	NA	NA	Flaviviridae	Flavivirus
11084	Tick-borne encephalitis virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
57078	Dicrocoelium dendriticum	Metazoa	Platyhelminthes	Trematoda	Plagiorchiida	Dicrocoeliidae	Dicrocoelium
1150115	Viral vector pWNV-GFP backbone V3	NA	NA	NA	NA	NA	NA
390844	Culex flavivirus	NA	NA	NA	NA	Flaviviridae	Flavivirus
637853	Gongylonema pulchrum	Metazoa	Nematoda	Chromadorea	Rhabditida	Gongylonematidae	Gongylonema
64312	Montana myotis leukoencephalitis virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
64284	Saboya virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
3694	Populus trichocarpa	Viridiplantae	Streptophyta	NA	Malpighiales	Salicaceae	Populus
5681	Leishmania peruviana	NA	NA	NA	Kinetoplastida	Trypanosomatidae	Leishmania
64310	Kadam virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
102107	Prunus mume	Viridiplantae	Streptophyta	NA	Rosales	Rosaceae	Prunus
2045186	Kampung Karu virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
35279	Meaban virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
